model_name,fold_id,test_n,positive_n,negative_n,best_c,fixed_l1_ratio,precision,recall,specificity,f1,accuracy,roc_auc,brier,log_loss,tn,fp,fn,tp
combined_lasso,28,81,64,17,3.0,1.0,0.863013698630137,0.984375,0.4117647058823529,0.9197080291970803,0.8641975308641975,0.8704044117647058,0.09973739554874661,0.32989192520844723,7,10,1,63
combined_lasso,29,81,64,17,3.0,1.0,0.8636363636363636,0.890625,0.47058823529411764,0.8769230769230769,0.8024691358024691,0.796875,0.15595264945710502,0.47944174216770663,8,9,7,57
combined_lasso,30,81,63,18,3.0,1.0,0.8513513513513513,1.0,0.3888888888888889,0.9197080291970803,0.8641975308641975,0.91005291005291,0.10716689581751636,0.3311690083580734,7,11,0,63
combined_lasso,31,82,64,18,1.0,1.0,0.8714285714285714,0.953125,0.5,0.9104477611940298,0.8536585365853658,0.8602430555555556,0.11305286636097382,0.36770303099495893,9,9,3,61
combined_lasso,32,81,64,17,3.0,1.0,0.8333333333333334,0.9375,0.29411764705882354,0.8823529411764706,0.8024691358024691,0.7334558823529412,0.14616031720582096,0.49067153726394613,5,12,4,60
combined_lasso,33,81,64,17,1.0,1.0,0.8428571428571429,0.921875,0.35294117647058826,0.8805970149253731,0.8024691358024691,0.886029411764706,0.11664655591871068,0.3537861876837419,6,11,5,59
combined_lasso,34,81,64,17,1.0,1.0,0.8840579710144928,0.953125,0.5294117647058824,0.9172932330827067,0.8641975308641975,0.869485294117647,0.11302107766365856,0.3591207303795799,9,8,3,61
combined_lasso,35,81,63,18,0.3,1.0,0.8378378378378378,0.9841269841269841,0.3333333333333333,0.9051094890510949,0.8395061728395061,0.7821869488536155,0.13366393336591417,0.421732160210911,6,12,1,62
combined_lasso,36,82,64,18,0.3,1.0,0.8108108108108109,0.9375,0.2222222222222222,0.8695652173913043,0.7804878048780488,0.828125,0.13465990878177914,0.40754073080294906,4,14,4,60
combined_lasso,37,81,64,17,10.0,1.0,0.8611111111111112,0.96875,0.4117647058823529,0.9117647058823529,0.8518518518518519,0.8465073529411764,0.10596810406941219,0.3518565551333965,7,10,2,62
combined_lasso,38,81,64,17,10.0,1.0,0.9166666666666666,0.859375,0.7058823529411765,0.8870967741935484,0.8271604938271605,0.8952205882352942,0.11947106230931709,0.36985406308773994,12,5,9,55
combined_lasso,39,81,64,17,3.0,1.0,0.8695652173913043,0.9375,0.47058823529411764,0.9022556390977443,0.8395061728395061,0.8832720588235293,0.10880766518288656,0.3514264056957792,8,9,4,60
combined_lasso,40,81,63,18,3.0,1.0,0.8266666666666667,0.9841269841269841,0.2777777777777778,0.8985507246376812,0.8271604938271605,0.7883597883597884,0.1378422677615892,0.4611492985520232,5,13,1,62
combined_lasso,41,82,64,18,10.0,1.0,0.8591549295774648,0.953125,0.4444444444444444,0.9037037037037037,0.8414634146341463,0.8402777777777778,0.1216284774937087,0.379672940802163,8,10,3,61
combined_lasso,42,81,64,17,1.0,1.0,0.8333333333333334,0.9375,0.29411764705882354,0.8823529411764706,0.8024691358024691,0.828125,0.12764930131416552,0.396093259919639,5,12,4,60
combined_lasso,43,81,64,17,10.0,1.0,0.8939393939393939,0.921875,0.5882352941176471,0.9076923076923077,0.8518518518518519,0.8823529411764706,0.10388347227674555,0.3370295656714734,10,7,5,59
combined_lasso,44,81,64,17,1.0,1.0,0.8450704225352113,0.9375,0.35294117647058826,0.8888888888888888,0.8148148148148148,0.8621323529411766,0.11718508119023495,0.37621814007317467,6,11,4,60
combined_lasso,45,81,63,18,10.0,1.0,0.8194444444444444,0.9365079365079365,0.2777777777777778,0.8740740740740741,0.7901234567901234,0.7857142857142857,0.14814178795284813,0.4483974427305896,5,13,4,59
combined_lasso,46,82,64,18,10.0,1.0,0.8428571428571429,0.921875,0.3888888888888889,0.8805970149253731,0.8048780487804879,0.8185763888888888,0.12851518072614398,0.4176674470841786,7,11,5,59
combined_lasso,47,81,64,17,0.3,1.0,0.8493150684931506,0.96875,0.35294117647058826,0.9051094890510949,0.8395061728395061,0.8161764705882353,0.12706383375629218,0.39332786738643777,6,11,2,62
combined_lasso,48,81,64,17,3.0,1.0,0.8493150684931506,0.96875,0.35294117647058826,0.9051094890510949,0.8395061728395061,0.8363970588235294,0.11455669884415236,0.35750760955809624,6,11,2,62
combined_lasso,49,81,64,17,0.3,1.0,0.8591549295774648,0.953125,0.4117647058823529,0.9037037037037037,0.8395061728395061,0.8529411764705882,0.11158582947476607,0.3618802744872471,7,10,3,61
combined_lasso,50,81,63,18,1.0,1.0,0.8382352941176471,0.9047619047619048,0.3888888888888889,0.8702290076335878,0.7901234567901234,0.7839506172839507,0.14810836315890755,0.4548136651542053,7,11,6,57
