population,feature,coefficient,mean_contribution,median_contribution,mean_absolute_contribution,intercept,population_n,mean_score,very_high_percent,training_mean_contribution,contribution_shift_vs_training,absolute_contribution_shift
north_calabria,evi_median,0.6872378353652027,0.0022536789426706324,-0.09166482222954031,0.5746225878810174,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,5.687842096601788e-17,0.0022536789426705756,0.0022536789426705756
north_calabria,bsi_median,0.15814365557089705,0.0014126146032897914,0.025490137349139158,0.13025932225990322,1.9277219787460185,9841,0.7450387927221126,54.82166446499339,1.367269734760045e-18,0.00141261460328979,0.00141261460328979
south_calabria,evi_iqr,-2.029594819720897,-0.7589644147091539,-0.2441531704843875,1.9804552574792014,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-2.362642101665358e-16,-0.7589644147091537,0.7589644147091537
south_calabria,ndvi_median,-1.4347931104362968,-0.564091888103178,-0.656248207600604,1.5681015811005,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,8.750526302464288e-17,-0.5640918881031781,0.5640918881031781
south_calabria,ndmi_median,1.0608471746443235,0.38164134260074684,0.3716010847848972,1.009924098315552,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-1.400084208394286e-16,0.381641342600747,0.381641342600747
south_calabria,log_perimeter_m,1.002005504198885,-0.34970348114048583,-0.5440178163303737,0.7991204461648007,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-8.969289460025895e-17,-0.3497034811404857,0.3497034811404857
south_calabria,log_n_points,-0.22038536521428279,0.29653851438377987,0.3265301111059376,0.3389059165386105,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-1.728228944736697e-16,0.29653851438378004,0.29653851438378004
south_calabria,evi_median,0.6872378353652027,0.26267983135359557,0.25712996256714893,0.6227323531497679,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,5.687842096601788e-17,0.2626798313535955,0.2626798313535955
south_calabria,ndvi_iqr,1.5554479091396838,-0.23418351289419537,-0.49457307420932184,1.5493413324502037,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,2.275136838640715e-16,-0.2341835128941956,0.2341835128941956
south_calabria,log_area_ha,0.31391596495660273,-0.11506965518766259,-0.20100773600315616,0.24558331432131886,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-7.437947357094644e-17,-0.11506965518766252,0.11506965518766252
south_calabria,bsi_stddev,1.8187351884986924,0.11462107346706464,-0.11622880627823931,1.6685851555195128,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,4.375263151232144e-16,0.1146210734670642,0.1146210734670642
south_calabria,evi_stddev,-0.24938054213505823,-0.10597909011256326,-0.04653312052093839,0.24259010778053952,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,1.4766513135408485e-16,-0.10597909011256341,0.10597909011256341
south_calabria,bsi_iqr,1.2312237797349315,0.06699208632238021,-0.10263058723951426,1.0962860039338098,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,4.2877578882075013e-16,0.06699208632237978,0.06699208632237978
south_calabria,bsi_median,0.15814365557089705,-0.06656665547336445,-0.05793735274311322,0.15200204543894938,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,1.367269734760045e-18,-0.06656665547336445,0.06656665547336445
south_calabria,compactness_raw,0.346166038825335,0.06502032314837697,0.03825319391006428,0.28578424975979505,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-3.172065784643304e-17,0.065020323148377,0.065020323148377
south_calabria,ndmi_stddev,-0.9381368950849343,-0.03944690219549094,0.07925586091744088,0.8857250899152426,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,-3.93773683610893e-17,-0.0394469021954909,0.0394469021954909
south_calabria,log_n_observations,0.05571768113310122,-0.03637282978836633,-0.019634262147530064,0.039092728516877395,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,1.2100337152626397e-16,-0.03637282978836645,0.03637282978836645
south_calabria,ndvi_stddev,-0.7711695540501292,0.024946769049631053,0.1708255711976054,0.7460058254107379,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,1.4875894714189289e-16,0.024946769049630904,0.024946769049630904
south_calabria,large_polygon_flag,-0.056126006170276105,0.024300613185708187,0.049097180831053716,0.05239524647846421,1.9277219787460185,10624,0.6526607073267003,38.75188253012048,4.375263151232144e-18,0.024300613185708184,0.024300613185708184
