threshold,selected_n,selected_percent,precision,recall,specificity,npv,f1,tn,fp,fn,tp,youden_j
0.55,340,83.74384236453201,0.8647058823529412,0.9216300940438872,0.47126436781609193,0.6212121212121212,0.8922610015174507,41,46,25,294,0.3928944618599792
0.56,340,83.74384236453201,0.8647058823529412,0.9216300940438872,0.47126436781609193,0.6212121212121212,0.8922610015174507,41,46,25,294,0.3928944618599792
0.57,337,83.00492610837439,0.8664688427299704,0.9153605015673981,0.4827586206896552,0.6086956521739131,0.8902439024390244,42,45,27,292,0.39811912225705326
0.58,332,81.77339901477832,0.8704819277108434,0.9059561128526645,0.5057471264367817,0.5945945945945946,0.8878648233486943,44,43,30,289,0.4117032392894462
0.59,330,81.2807881773399,0.8757575757575757,0.9059561128526645,0.5287356321839081,0.6052631578947368,0.8906009244992296,46,41,30,289,0.4346917450365726
0.6,329,81.03448275862068,0.878419452887538,0.9059561128526645,0.5402298850574713,0.6103896103896104,0.8919753086419753,47,40,30,289,0.4461859979101357
0.61,326,80.29556650246306,0.8834355828220859,0.9028213166144201,0.5632183908045977,0.6125,0.8930232558139535,49,38,31,288,0.4660397074190179
0.62,325,80.04926108374384,0.8830769230769231,0.8996865203761756,0.5632183908045977,0.6049382716049383,0.8913043478260869,49,38,32,287,0.46290491118077326
0.63,324,79.80295566502463,0.8827160493827161,0.896551724137931,0.5632183908045977,0.5975609756097561,0.8895800933125972,49,38,33,286,0.4597701149425286
0.64,322,79.3103448275862,0.8850931677018633,0.8934169278996865,0.5747126436781609,0.5952380952380952,0.8892355694227769,50,37,34,285,0.4681295715778475
0.65,319,78.57142857142857,0.8840125391849529,0.8840125391849529,0.5747126436781609,0.5747126436781609,0.8840125391849529,50,37,37,282,0.4587251828631138
0.66,318,78.32512315270937,0.8867924528301887,0.8840125391849529,0.5862068965517241,0.5795454545454546,0.8854003139717426,51,36,37,282,0.4702194357366771
0.67,315,77.58620689655173,0.8857142857142857,0.8746081504702194,0.5862068965517241,0.5604395604395604,0.8801261829652997,51,36,40,279,0.4608150470219434
0.68,312,76.84729064039408,0.8878205128205128,0.8683385579937304,0.5977011494252874,0.5531914893617021,0.8779714738510301,52,35,42,277,0.4660397074190179
0.69,309,76.10837438423646,0.889967637540453,0.8620689655172413,0.6091954022988506,0.5463917525773195,0.8757961783439491,53,34,44,275,0.47126436781609193
0.7,306,75.36945812807882,0.8986928104575164,0.8620689655172413,0.6436781609195402,0.56,0.88,56,31,44,275,0.5057471264367814
0.71,303,74.63054187192118,0.9075907590759076,0.8620689655172413,0.6781609195402298,0.5728155339805825,0.8842443729903537,59,28,44,275,0.5402298850574712
0.72,300,73.89162561576354,0.91,0.8557993730407524,0.6896551724137931,0.5660377358490566,0.8820678513731826,60,27,46,273,0.5454545454545454
